SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Mapping_Percent	Average_Coverage
CM7560	602	27133899	518	440366	24999	45072.92	89	97869	285	26612	99.0	99.0	0.0	0.5	0.5	4191	19063138	18851687	98.89	97.5
CM7570	457	27440487	506	466817	28617	60044.83	65	149373	197	42290	99.0	98.7	0.3	0.6	0.4	4191	25863850	24984930	96.60	126.0
CM7632	708	28385105	502	453235	13880	40091.96	84	104430	277	28203	98.9	98.8	0.1	0.4	0.7	4191	13986772	13834795	98.91	71.5
COH_1192	277	27698953	500	1695102	2631	99996.22	16	557923	55	141914	98.3	98.2	0.1	0.2	1.5	4191	12191486	11550103	94.74	62.5
COH_371	427	27942522	501	835686	3634	65439.16	33	263805	114	71458	98.8	98.7	0.1	0.1	1.1	4191	9584714	9284710	96.87	49.8
COH_400	483	28882528	502	756802	3344	59798.19	35	274630	111	70795	99.6	99.5	0.1	0.1	0.3	4191	9644044	9331307	96.76	48.5
COH_694	326	28328771	501	738197	25966	86898.07	37	262054	115	75141	99.6	99.5	0.1	0.2	0.2	4191	11100972	10794198	97.24	57.2
COH_762	284	28350981	506	1128043	8369	99827.40	25	391591	80	90611	99.6	99.5	0.1	0.1	0.3	4191	11039578	10606061	96.07	56.1
COH_880	429	28002584	500	781397	5026	65274.09	38	238956	119	65071	99.6	99.5	0.1	0.1	0.3	4191	10534524	10381905	98.55	55.6
COH_885	804	29114187	500	1195335	2040	36211.68	45	167814	183	37260	99.0	98.9	0.1	0.6	0.4	4191	12067098	11631358	96.39	59.9
COH_913	430	28636272	500	592158	32674	66595.98	57	154774	189	42345	99.4	99.4	0.0	0.2	0.4	4191	11443438	11077596	96.80	58.0
COH_934	2645	28968429	500	675062	946	10952.15	81	87193	481	7810	95.7	95.6	0.1	2.0	2.3	4191	11180072	10692091	95.64	55.4
Corn_Silage_Outer_CA-2	78	126781	505	8611	1109	1625.40	15	2047	57	693	0.0	0.0	0.0	0.0	100.0	4191	2687158	219348	8.16	261.3
D17	402	27961571	507	625816	24730	69556.15	48	173508	161	44604	98.6	98.5	0.1	0.5	0.9	4191	41109518	39849919	96.94	142.5
DMC2_AF100-12_42	172	28166972	525	774028	77923	163761.47	26	409233	73	115879	99.5	99.5	0.0	0.2	0.3	4191	11938102	11600145	97.17	61.3
DMC2_AF100-12_9	172	27771769	526	957329	106874	161463.77	29	315362	85	107775	97.4	97.4	0.0	0.1	2.5	4191	11990690	11173578	93.19	59.9
DMC2_AF100-1_11	379	28739279	504	916670	6497	75829.23	33	295442	105	76886	99.5	99.4	0.1	0.2	0.3	4191	13582970	13099340	96.44	67.7
DMC2_AF100-1_14	431	27960846	527	413738	25150	64874.35	54	176858	170	42223	98.0	98.0	0.0	0.3	1.7	4191	21148818	20463332	96.76	108.1
DMC2_AF100-1_18	613	28774459	504	1124734	2427	46940.39	35	271774	118	52373	97.7	97.6	0.1	0.3	2.0	4191	20630428	19548389	94.76	100.6
DMC2_AF100-1_20_C	197	28021250	471	972557	79106	142239.85	29	308073	88	94434	96.7	96.7	0.0	0.1	3.2	4191	16425362	15465520	94.16	82.0
DMC2_AF100-1_20_OE	265	28567775	520	664562	60178	107802.92	43	246057	131	61676	99.6	99.6	0.0	0.1	0.3	4191	20536634	19734064	96.09	101.5
DMC2_AF100-1_24	240	28139512	502	745549	59003	117247.97	34	275589	102	88924	99.6	99.6	0.0	0.1	0.3	4191	22808658	22045200	96.65	116.4
DMC2_AF100-1_3	2640	29119796	500	531711	984	11030.23	108	76619	560	7310	97.0	97.0	0.0	1.3	1.7	4191	34923910	33481230	95.87	171.2
DMC2_AF100-1_4	365	28741403	504	876327	5531	78743.57	31	284579	97	96961	99.5	99.4	0.1	0.3	0.2	4191	11874984	11345583	95.54	58.8
DMC2_AF100-1_8	380	28736902	504	628682	5958	75623.43	36	296078	104	78580	99.4	99.3	0.1	0.2	0.4	4191	9115862	8720230	95.66	45.1
DMC2_AF100-2B	292	28699085	502	1540168	15870	98284.54	31	317555	94	96857	99.6	99.6	0.0	0.2	0.2	4191	11740022	11437237	97.42	59.4
DMC2_AF100-3B	229	28082376	503	1188334	28363	122630.46	25	347430	79	106494	99.6	99.6	0.0	0.2	0.2	4191	12727660	12376456	97.24	65.5
DMC2_AF100-4B	213	28095861	513	885165	59974	131905.45	30	345513	85	101072	99.7	99.7	0.0	0.0	0.3	4191	10419234	10084453	96.79	53.4
DMC2_AF100-5B	222	28092966	517	1133540	43873	126544.89	27	329850	86	98846	99.5	99.5	0.0	0.1	0.4	4191	12985750	12595688	97.00	66.6
DMC2_AF100-6B	188	28099155	517	1214452	45999	149463.59	21	437507	68	107838	99.6	99.6	0.0	0.1	0.3	4191	17334742	16734520	96.54	88.6
DMC2_AF100-7B	199	28215343	510	1022891	46377	141785.64	25	371630	77	95702	99.6	99.6	0.0	0.1	0.3	4191	14424606	13897621	96.35	73.0
DMC2_AF100-8B	169	28165952	505	1134340	84926	166662.44	27	362247	77	107937	99.6	99.6	0.0	0.1	0.3	4191	15878328	15103966	95.12	79.6
DMC2_AF100-9B	162	28165149	520	1246846	80666	173858.94	23	393039	69	106898	99.6	99.6	0.0	0.1	0.3	4191	18777414	18123050	96.52	95.9
DMC2_AF1001_15	274	28697696	502	1281957	20540	104736.12	28	303740	92	89830	99.5	99.5	0.0	0.2	0.3	4191	17073698	16628327	97.39	86.1
DMC_AF100-12_42	173	28163644	505	1072126	76706	162795.63	24	416799	72	115876	99.5	99.5	0.0	0.2	0.3	4191	11938102	11602342	97.19	61.3
DMC_AF100-12_9	175	28167856	526	1019401	103403	160959.18	29	336683	83	111444	99.5	99.5	0.0	0.1	0.4	4191	11990690	11332328	94.51	59.9
DMC_AF100-1_11	389	28743244	504	738906	7255	73890.09	35	287381	107	75528	99.6	99.5	0.1	0.2	0.2	4191	13582970	13128879	96.66	67.9
DMC_AF100-1_14	434	27958873	527	553428	26518	64421.37	55	172468	177	41513	98.0	98.0	0.0	0.2	1.8	4191	21148818	20463096	96.76	108.1
DMC_AF100-1_18	593	29198670	504	1222751	2358	49238.90	32	271775	113	53841	99.4	99.3	0.1	0.3	0.3	4191	20630428	19853739	96.24	100.6
DMC_AF100-1_20_C	192	28551698	515	1417321	72685	148706.76	28	344557	82	106791	99.6	99.6	0.0	0.1	0.3	4191	16425362	15759141	95.94	82.0
DMC_AF100-1_20_OE	267	28568194	520	763503	58467	106996.98	41	235024	129	60759	99.6	99.6	0.0	0.1	0.3	4191	20536634	19736214	96.10	101.6
DMC_AF100-1_24	226	28140394	502	954950	61508	124515.02	30	321784	94	82899	99.6	99.6	0.0	0.2	0.2	4191	22808658	22015846	96.52	116.3
DMC_AF100-1_3	2640	29119618	500	531711	984	11030.16	108	76619	560	7310	97.0	97.0	0.0	1.3	1.7	4191	34923910	33480964	95.87	171.2
DMC_AF100-1_4	365	28741066	504	876327	5531	78742.65	31	284579	97	96961	99.5	99.4	0.1	0.3	0.2	4191	11874984	11345510	95.54	58.8
DMC_AF100-1_8	378	28735109	504	706290	6264	76018.81	34	296078	103	83656	99.4	99.3	0.1	0.2	0.4	4191	9115862	8716933	95.62	45.0
DMC_AF100-2B	295	28699272	502	889008	15853	97285.67	33	294568	96	88840	99.6	99.6	0.0	0.1	0.3	4191	11740022	11439073	97.44	59.4
DMC_AF100-3B	238	28081708	503	1188265	34144	117990.37	27	296489	86	100358	99.5	99.5	0.0	0.2	0.3	4191	12727660	12362109	97.13	65.4
DMC_AF100-4B	216	28094234	513	981435	48676	130065.90	28	345513	86	97904	99.6	99.6	0.0	0.1	0.3	4191	10419234	10095204	96.89	53.5
DMC_AF100-5B	226	28089600	517	1251468	37900	124290.27	25	327696	83	94105	99.5	99.5	0.0	0.2	0.3	4191	12985750	12593381	96.98	66.6
DMC_AF100-6B	188	28099155	517	1214452	45999	149463.59	21	437507	68	107838	99.6	99.6	0.0	0.1	0.3	4191	17334742	16734543	96.54	88.6
DMC_AF100-7B	201	28212856	509	1167292	40980	140362.47	25	371618	76	111862	99.6	99.6	0.0	0.1	0.3	4191	14424606	13906621	96.41	73.1
DMC_AF100-8B	180	28165095	519	1134491	100777	156472.75	30	310527	87	107946	99.6	99.6	0.0	0.1	0.3	4191	15878328	15156223	95.45	79.9
DMC_AF100-9B	157	28164831	520	1456537	80800	179393.83	21	444866	66	113391	99.6	99.6	0.0	0.1	0.3	4191	18777414	18116133	96.48	95.9
DMC_AF1001_15	276	28697595	502	937580	24262	103976.79	29	303836	94	85201	99.5	99.5	0.0	0.1	0.4	4191	17073698	16610836	97.29	86.0
F11628	1299	28528000	500	353501	3125	21961.51	119	71584	412	17253	99.2	99.2	0.0	0.3	0.5	4191	12531644	11849337	94.56	41.5
F12041	387	28409526	503	729743	9122	73409.63	35	253935	116	71268	99.5	99.5	0.0	0.2	0.3	4191	15175524	14277886	94.08	50.8
F12219	278	27823179	505	869080	12085	100083.38	31	317058	90	90956	99.6	99.6	0.0	0.1	0.3	4191	22256138	21382312	96.07	77.6
F12636	335	28621587	512	994745	21894	85437.57	36	240289	122	63411	99.5	99.5	0.0	0.1	0.4	4191	20284628	19326284	95.28	68.2
F12865	1352	28505177	500	353463	2833	21083.71	118	70337	420	16967	99.2	99.2	0.0	0.3	0.5	4191	10673523	10247026	96.00	35.9
F13535	366	28403318	508	909984	13848	77604.69	35	243195	118	65164	99.4	99.4	0.0	0.2	0.4	4191	15916678	14827487	93.16	52.7
F13619	559	29080216	501	766966	3906	52021.85	38	224803	134	49573	99.5	99.4	0.1	0.2	0.3	4191	23552402	22379828	95.02	77.7
F13952	407	28385200	504	909985	10157	69742.51	36	229302	122	59658	99.5	99.5	0.0	0.1	0.4	4191	13970108	13091992	93.71	46.6
F14403	256	28249792	504	1400692	12714	110350.75	24	380962	79	94913	99.6	99.6	0.0	0.1	0.3	4191	24316730	23104935	95.02	82.6
F14513G	392	28401408	506	909973	10742	72452.57	34	247216	118	62585	99.5	99.5	0.0	0.2	0.3	4191	15537612	14741628	94.88	52.4
F14532	514	28269610	507	788390	5681	54999.24	43	207638	142	48379	99.5	99.4	0.1	0.2	0.3	4191	19031750	18342717	96.38	65.5
F14946G	220	28158041	505	1146057	19003	127991.10	22	419130	70	117172	99.7	99.7	0.0	0.1	0.2	4191	19417750	18591219	95.74	66.7
F15390	584	28205164	500	644259	3946	48296.51	48	185897	161	44601	99.5	99.4	0.1	0.2	0.3	4191	18938816	18358022	96.93	65.7
F15767	995	28655792	500	459233	7094	28799.79	104	83116	359	21782	99.1	99.0	0.1	0.2	0.7	4191	10119661	9553882	94.41	33.3
F15927	161	27405489	505	1983018	6069	170220.43	11	838114	36	237511	99.5	99.4	0.1	0.2	0.3	4191	19584782	18171436	92.78	67.0
F16134	404	27940645	505	1649255	6140	69160.01	33	272146	111	70199	97.5	97.4	0.1	0.1	2.4	4191	22245322	21106224	94.88	76.3
F16216	424	28022450	502	611078	7232	66090.68	39	235526	125	52493	99.5	99.5	0.0	0.1	0.4	4191	13972242	13335449	95.44	48.1
F16311	267	28254031	502	1146338	9847	105820.34	23	377897	80	98792	99.6	99.6	0.0	0.1	0.3	4191	20222456	19541093	96.63	69.9
F17582	387	28161877	504	782431	16756	72769.71	38	220127	133	49475	99.4	99.4	0.0	0.2	0.4	4191	18467296	17776766	96.26	63.8
F17729	277	28131049	509	1193303	13663	101556.13	28	366284	87	89295	99.5	99.5	0.0	0.2	0.3	4191	17859832	17276492	96.73	62.0
F17729W	318	28099314	506	700558	12843	88362.62	33	286237	101	82644	99.6	99.6	0.0	0.1	0.3	4191	14748994	14149299	95.93	50.9
F17764	399	27751154	502	1170555	4821	69551.76	33	279793	109	70554	99.6	99.6	0.0	0.2	0.2	4191	17001204	16408011	96.51	59.7
F17999	3402	27060266	501	114621	4198	7954.22	477	15648	1802	3723	80.3	80.2	0.1	6.1	13.6	4191	19946400	18604977	93.27	68.8
F18085	311	28236572	505	1247749	7088	90792.84	24	406755	82	78768	99.6	99.6	0.0	0.1	0.3	4191	19580334	18781856	95.92	67.2
F18149-JCVI	561	28130001	508	538320	7789	50142.60	51	176138	175	42145	98.5	98.4	0.1	0.2	1.3	4191	6097254	5772427	94.67	20.7
F18149-Manchester	870	28838275	503	508310	6374	33147.44	71	122479	271	21653	97.9	97.8	0.1	0.8	1.3	4191	33303062	32239243	96.81	111.8
F18304	1593	28577879	501	343496	4957	17939.66	165	51322	587	12070	97.4	97.0	0.4	1.2	1.4	4191	66574550	64346958	96.65	225.2
F18329	455	27909908	506	496266	22116	61340.46	53	168083	180	39890	98.5	98.4	0.1	0.7	0.8	4191	20136896	19538256	97.03	70.0
F18454	2522	27044132	501	129140	5452	10723.29	339	22456	1282	5326	85.9	85.8	0.1	4.6	9.5	4191	16988694	16189239	95.29	59.9
F20063	1230	27960038	500	259037	8894	22731.74	144	57566	500	14135	97.8	97.4	0.4	1.1	1.1	4191	61331530	58617876	95.58	209.6
F20140	270	27957506	500	1114253	12550	103546.32	26	343440	85	89029	99.0	99.0	0.0	0.4	0.6	4191	29704458	28873830	97.20	103.3
F20451	2552	28581856	500	245228	2630	11199.79	232	33894	939	6712	93.6	93.4	0.2	2.4	4.0	4191	22033304	21437936	97.30	75.0
F21572	619	28375719	502	493034	17362	45841.23	70	121704	254	26928	98.0	97.9	0.1	0.8	1.2	4191	21411526	20825046	97.26	73.4
F21732	879	28164760	501	319180	14833	32041.82	113	74668	405	17257	95.7	95.6	0.1	1.8	2.5	4191	21166012	20545797	97.07	72.9
F21857	838	27890238	501	313325	13857	33281.91	105	78771	370	17950	96.4	96.3	0.1	1.5	2.1	4191	21445314	21002983	97.94	75.3
F4S1B	1065	27523889	501	297617	7895	25844.03	115	72405	397	17554	97.7	97.2	0.5	0.7	1.6	4191	61239236	59211611	96.69	215.1
F5211G	309	28590343	500	798172	28811	92525.38	36	262691	113	66240	99.4	99.4	0.0	0.2	0.4	4191	26056124	24834145	95.31	87.7
F7763	226	28412147	505	1201062	26122	125717.46	25	388109	77	105549	99.5	99.4	0.1	0.2	0.3	4191	92777478	88442699	95.33	314.4
ICMP-23421	339	28939270	506	667347	55277	85366.58	58	159625	181	52571	99.4	99.3	0.1	0.3	0.3	4191	9431796	8960988	95.01	77.4
IFM_55369	768	27967768	500	410827	12398	36416.36	85	103211	297	25694	98.6	98.5	0.1	0.2	1.2	4191	10044758	9825078	97.81	50.1
IFM_58026	987	27760339	500	208575	13618	28125.98	134	67344	444	17906	98.9	98.9	0.0	0.6	0.5	4191	6683664	6445172	96.43	28.6
IFM_58029	813	27911363	505	294534	10808	34331.32	87	104061	301	25348	99.3	99.3	0.0	0.2	0.5	4191	4773414	4617779	96.74	32.4
IFM_58401	1002	27727124	502	231144	9579	27671.78	121	73585	394	20189	99.0	99.0	0.0	0.4	0.6	4191	6820030	6569283	96.32	28.5
IFM_59056	626	27905126	500	499868	12109	44576.88	67	126240	225	33223	97.7	97.7	0.0	0.3	2.0	4191	10627454	10189592	95.88	54.5
IFM_59073	699	28105328	501	428082	13854	40207.91	83	104466	269	29669	99.3	99.3	0.0	0.3	0.4	4191	13511980	13320060	98.58	55.5
IFM_59355-1	358	28415641	513	743464	31631	79373.30	47	203554	146	54788	98.5	98.4	0.1	0.2	1.3	4191	9858816	8685399	88.10	43.8
IFM_59355-2	365	28412121	513	488479	34470	77841.43	53	177554	162	47901	98.6	98.5	0.1	0.2	1.2	4191	10330316	8292805	80.28	41.3
IFM_59356-1	272	28415797	500	741767	53507	104469.84	40	235731	122	70861	98.6	98.5	0.1	0.1	1.3	4191	14573754	12920753	88.66	60.4
IFM_59356-2	1446	28354805	502	228574	7434	19609.13	169	48532	600	12167	97.7	97.6	0.1	1.0	1.3	4191	5058734	3770677	74.54	19.2
IFM_59356-3	986	27983677	500	299534	7643	28381.01	109	82432	355	21824	99.5	99.4	0.1	0.2	0.3	4191	7836524	6681827	85.27	31.9
IFM_59359	2482	28516632	500	274857	1023	11489.38	150	54339	610	9253	96.5	96.4	0.1	1.7	1.8	4191	8061798	7877656	97.72	51.7
IFM_59361	960	29011306	500	425998	1867	30220.11	69	133652	226	31415	97.8	97.7	0.1	0.2	2.0	4191	6000932	5841731	97.35	40.9
IFM_59361-1	602	28839259	502	1421694	1690	47905.75	25	345799	92	80075	97.3	97.2	0.1	0.1	2.6	4191	8015144	7401606	92.35	38.3
IFM_59361-2	563	29171806	500	1094882	1738	51814.93	25	333849	92	73169	97.7	97.7	0.0	0.2	2.1	4191	8320650	7652129	91.97	37.9
IFM_59365	2	8990	1044	7946	7946	4495.00	1	7946	2	1044	NA	NA	NA	NA	NA	NA	6260822	84567	1.35	1132.7
IFM_59777	1157	28715686	500	428150	3773	24819.09	102	78232	369	19869	98.8	98.7	0.1	0.4	0.8	4191	6767538	6430577	95.02	30.9
IFM_60237	688	29355221	501	636333	1961	42667.47	39	253059	131	60893	98.7	98.6	0.1	0.3	1.0	4191	4290514	4055121	94.51	20.7
IFM_60514	615	27784798	500	623288	19264	45178.53	75	111994	248	33059	99.3	99.3	0.0	0.3	0.4	4191	7722012	7621868	98.70	52.8
IFM_61118	1035	27909709	500	246899	10872	26965.90	131	65947	434	18705	99.3	99.3	0.0	0.3	0.4	4191	5041332	4885925	96.92	28.2
IFM_61407	2859	28369399	492	317166	998	9922.84	141	53240	649	7289	96.7	96.6	0.1	1.4	1.9	4191	7900368	7726032	97.79	47.2
IFM_61578	981	27839036	500	318880	7561	28378.22	102	91098	350	20343	98.2	98.2	0.0	0.6	1.2	4191	6468188	6284244	97.16	30.5
IFM_61610	725	27940266	500	459269	10794	38538.30	79	109493	265	29197	99.3	99.3	0.0	0.3	0.4	4191	8532302	8306057	97.35	44.3
IFM_62115	1	7946	7946	7946	7946	7946.00	1	7946	1	7946	NA	NA	NA	NA	NA	NA	6192650	152413	2.46	2201.3
IFM_62516	1086	28046624	500	275378	7456	25825.62	121	71390	400	19422	99.0	98.9	0.1	0.3	0.7	4191	6339778	6106923	96.33	29.6
ISSF_21	146	28321837	525	2292047	22108	193985.18	14	668216	43	190385	99.7	99.6	0.1	0.1	0.2	4191	27987752	26862305	95.98	95.8
JCM_10253	375	28123857	504	701360	31844	74996.95	49	191108	157	43542	99.5	99.5	0.0	0.1	0.4	4191	36703538	33749982	91.95	181.2
JN10	1697	28319342	500	163519	8228	16687.89	230	36172	797	9735	97.3	96.7	0.6	1.3	1.4	4191	82229650	79672246	96.89	281.3
LMB-35Aa	225	27437142	503	1699649	3532	121942.85	16	524161	47	217103	99.5	99.4	0.1	0.2	0.3	4191	27598444	26711494	96.79	98.3
M128	7146	28942809	498	334727	958	4050.21	363	17017	3175	1029	87.6	87.5	0.1	4.8	7.6	4191	24569010	23391779	95.21	80.8
M5960-D	465	27962882	500	919829	7616	60135.23	40	231760	141	51986	99.5	99.5	0.0	0.2	0.3	4191	6104818	5695885	93.30	20.6
MO54056EXP	221	28677520	511	1078860	20845	129762.53	25	404472	74	109400	99.5	99.4	0.1	0.3	0.2	4191	73211242	65249829	89.13	284.4
MO68507EXP	365	28628187	507	1148719	3448	78433.39	26	413501	75	110763	99.6	99.5	0.1	0.1	0.3	4191	73386202	65142887	88.77	284.4
MO69250EXP	233	28421858	500	1097745	7628	121982.22	22	485895	65	118424	99.6	99.5	0.1	0.1	0.3	4191	71047608	62726331	88.29	275.9
MO76959EXP	260	28435793	500	1192584	7939	109368.43	21	444514	71	112469	99.7	99.6	0.1	0.1	0.2	4191	74063780	65134656	87.94	286.3
MO78722EXP	199	28476814	504	1721595	36355	143099.57	21	472253	68	106488	99.6	99.6	0.0	0.1	0.3	4191	61500272	54113057	87.99	237.5
MO79587EXP	225	27709131	502	2872216	5609	123151.69	14	581791	48	157388	99.4	99.3	0.1	0.3	0.3	4191	49962666	46800404	93.67	211.1
MO89263LAB	231	28399032	500	1109744	9404	122939.53	20	502651	63	115808	99.7	99.6	0.1	0.1	0.2	4191	71323836	63970768	89.69	281.6
MO91298SB	194	27472063	510	1102163	10559	141608.57	19	532557	54	132652	96.4	96.4	0.0	0.2	3.4	4191	91418650	81236264	88.86	369.6
Mg18-1	346	28326136	500	943037	2611	81867.45	29	306112	89	99706	99.6	99.6	0.0	0.1	0.3	4191	8369778	7923657	94.67	42.0
Moose-3_1_2	473	28467678	502	802656	8616	60185.37	38	199971	146	46260	99.4	99.3	0.1	0.2	0.4	4191	11746112	11538169	98.23	60.8
Moose_3-1.1	186	29880248	502	1292257	32419	160646.49	21	410963	67	146486	98.9	98.8	0.1	0.2	0.9	4191	11289026	10560688	93.55	53.0
NCPF-7811	1568	28454639	500	213939	4483	18147.09	163	50955	563	12963	98.1	98.1	0.0	0.8	1.1	4191	12059439	11533576	95.64	40.5
NCPF-7816	1559	28567752	500	279120	2189	18324.41	133	64107	471	15226	98.7	98.7	0.0	0.5	0.8	4191	16550478	16017143	96.78	56.1
NCPF-7820	1895	30530586	500	238670	5839	16111.13	213	42229	778	9599	96.8	96.8	0.0	1.6	1.6	4191	8354910	7915853	94.74	25.9
NCPF-7822	1017	27723315	500	319612	6271	27259.90	104	83062	357	20086	99.2	99.2	0.0	0.3	0.5	4191	10927223	10562032	96.66	38.1
Oryx-1	255	27966114	521	700531	54176	109671.04	37	252898	119	63110	99.5	99.5	0.0	0.2	0.3	4191	11805326	11191370	94.80	60.0
RSF2S8	484	28564639	502	560677	21367	59017.85	58	154401	196	37716	98.2	98.2	0.0	0.8	1.0	4191	21724100	21269703	97.91	74.5
SF1S5	323	28202829	508	909983	31245	87315.26	35	233840	125	53589	99.0	99.0	0.0	0.4	0.6	4191	33598286	32869901	97.83	116.5
SF1S6	283	28429601	510	1132231	30017	100457.95	31	288327	106	70482	98.4	98.3	0.1	0.3	1.3	4191	36956826	35932779	97.23	126.4
SF2S6	315	28284354	501	709384	31358	89791.60	36	250260	124	68915	99.1	99.0	0.1	0.3	0.6	4191	30544768	29294536	95.91	103.6
SF2S9	543	27924457	503	584427	13355	51426.26	60	144852	192	38794	97.5	97.4	0.1	0.8	1.7	4191	24884154	23936021	96.19	85.7
SF3S1	273	27999590	509	894346	24658	102562.60	27	349820	96	79147	99.1	99.1	0.0	0.5	0.4	4191	49290246	48005868	97.39	171.5
SF3S10	268	28015737	509	1372241	32049	104536.33	29	296027	99	77245	99.2	99.1	0.1	0.3	0.5	4191	60450072	58107918	96.13	207.4
SF4S10	397	28535397	507	528600	34029	71877.57	54	171462	180	42081	98.5	98.4	0.1	0.7	0.8	4191	33676628	32563267	96.69	114.1
TP12	2912	30722243	500	316950	855	10550.22	128	72774	506	10309	98.8	98.6	0.2	0.5	0.7	4191	10678618	10317232	96.62	49.3
TP32	690	27855395	506	315381	22675	40370.14	97	84505	327	25447	98.8	98.7	0.1	0.6	0.6	4191	21904748	21334921	97.40	107.9
W72310	1222	28112961	500	214715	10620	23005.70	169	51866	543	14798	98.0	97.9	0.1	1.2	0.8	4191	14387432	10391904	72.23	55.8
akuBKU80	5228	35821546	500	333341	1282	6851.86	158	61768	1731	1906	98.6	98.5	0.1	0.5	0.9	4191	24065334	23020480	95.66	88.4
histone_RFP	1903	29354940	500	190761	5762	15425.61	242	37844	804	9248	97.3	97.2	0.1	1.5	1.2	4191	8778074	6746592	76.86	34.7
